iter	Passed	Remaining
469	705	795
470	706	792
471	706	790
472	707	788
473	708	786
474	709	783
475	713	784
476	714	783
477	716	782
478	716	779
479	717	777
480	718	775
481	719	773
482	720	770
483	720	768
484	721	766
485	722	764
486	723	761
487	724	759
488	726	759
489	727	757
490	729	756
491	730	754
492	731	752
493	732	750
494	733	747
495	733	745
496	734	743
497	735	741
498	736	739
499	737	737
500	744	741
501	745	739
502	745	737
503	746	734
504	747	732
505	748	730
506	749	728
507	749	726
508	750	724
509	751	721
510	752	719
511	752	717
512	757	718
513	758	716
514	759	714
515	759	712
516	760	710
517	761	708
518	761	706
519	762	703
520	763	702
521	764	700
522	765	697
523	765	695
524	766	693
525	768	692
526	770	691
527	771	689
528	772	687
529	773	685
530	773	683
531	774	681
532	775	679
533	776	677
534	777	675
535	778	674
536	781	674
537	783	672
538	784	670
539	785	668
540	786	667
541	787	665
542	788	663
543	789	661
544	790	659
545	791	657
546	792	655
547	792	654
548	795	653
549	798	653
550	800	652
551	801	650
552	802	648
553	803	646
554	804	644
555	805	643
556	806	641
557	809	641
558	811	640
559	812	638
560	814	637
561	815	635
562	816	633
563	817	631
564	818	629
565	819	628
566	819	626
567	820	624
568	824	624
569	826	623
570	827	621
571	830	621
572	831	619
573	832	617
574	833	616
575	834	614
576	837	614
577	839	613
578	840	611
579	841	609
580	842	607
581	843	606
582	845	604
583	850	605
584	852	604
585	854	603
586	855	602
587	856	600
588	857	598
589	858	596
590	859	595
591	862	594
592	864	593
593	866	592
594	868	590
595	869	589
596	870	587
597	870	585
598	875	586
599	880	587
600	882	585
601	883	584
602	884	582
603	885	580
604	893	583
605	895	582
606	896	580
607	897	578
608	898	576
609	899	574
610	899	572
611	903	572
612	905	571
613	908	571
614	910	570
615	911	568
616	912	566
617	913	564
618	922	567
619	925	567
620	926	565
621	927	563
622	928	562
623	931	561
624	935	561
625	937	559
626	938	558
627	939	556
628	943	556
629	945	555
630	946	553
631	949	552
632	952	552
633	955	551
634	956	549
635	957	547
636	958	546
637	958	544
638	962	543
639	965	543
640	968	542
641	969	540
642	970	538
643	971	537
644	972	535
645	976	535
646	978	533
647	980	532
648	982	531
649	983	529
650	984	527
651	984	525
652	985	523
653	986	521
654	988	520
655	990	519
656	995	519
657	996	517
658	997	516
659	997	514
660	998	512
661	999	510
662	1000	508
663	1008	510
664	1011	509
665	1012	507
666	1013	506
667	1014	504
668	1026	507
669	1030	507
670	1034	507
671	1036	506
672	1038	504
673	1039	502
674	1040	500
675	1056	506
676	1057	504
677	1063	504
678	1066	503
679	1066	502
680	1067	500
681	1068	498
682	1069	496
683	1072	495
684	1076	495
685	1078	493
686	1080	492
687	1081	490
688	1082	488
689	1086	488
690	1088	486
691	1092	486
692	1093	484
693	1094	482
694	1095	480
695	1096	478
696	1098	477
697	1105	478
698	1106	476
699	1107	474
700	1108	472
701	1109	470
702	1112	470
703	1114	468
704	1115	466
705	1125	468
706	1128	467
707	1129	465
708	1131	464
709	1131	462
710	1135	461
711	1140	461
712	1142	459
713	1143	458
714	1144	456
715	1145	454
716	1145	452
717	1150	451
718	1153	450
719	1156	449
720	1157	447
721	1158	445
722	1158	443
723	1159	441
724	1160	440
725	1167	440
726	1170	439
727	1170	437
728	1171	435
729	1172	433
730	1173	431
731	1173	429
732	1174	427
733	1176	426
734	1182	426
735	1184	424
736	1186	423
737	1187	421
738	1188	419
739	1189	418
740	1190	416
741	1192	414
742	1194	413
743	1195	411
744	1196	409
745	1197	407
746	1204	407
747	1207	406
748	1208	404
749	1209	403
750	1210	401
751	1214	400
752	1220	400
753	1222	398
754	1223	396
755	1224	395
756	1224	393
757	1227	391
758	1228	390
759	1234	389
760	1235	387
761	1236	386
762	1236	384
763	1237	382
764	1238	380
765	1241	379
766	1243	377
767	1245	376
768	1247	374
769	1248	372
770	1249	371
771	1250	369
772	1250	367
773	1251	365
774	1252	363
775	1252	361
776	1259	361
777	1261	360
778	1263	358
779	1263	356
780	1264	354
781	1265	352
782	1266	350
783	1266	348
784	1271	348
785	1274	346
786	1275	345
787	1276	343
788	1277	341
789	1278	339
790	1278	337
791	1279	336
